Comunidades autónomas;Sectores de actividad;Sexo;Periodo;Total
Total Nacional;Servicios;Mujeres;2021;23.021,13
Total Nacional;Servicios;Mujeres;2020;22.327,9
Total Nacional;Servicios;Mujeres;2019;21.498,28
Total Nacional;Servicios;Mujeres;2018;20.765,37
Total Nacional;Servicios;Mujeres;2017;20.362,71
Total Nacional;Servicios;Mujeres;2016;19.889,17
Total Nacional;Servicios;Mujeres;2015;19.837,1
Total Nacional;Servicios;Mujeres;2014;19.477,5
Total Nacional;Servicios;Mujeres;2013;19.270,54
Total Nacional;Servicios;Mujeres;2012;19.319,64
Total Nacional;Servicios;Mujeres;2011;19.613,49
Total Nacional;Servicios;Mujeres;2010;19.607,32
Total Nacional;Servicios;Mujeres;2009;19.430,35
Total Nacional;Servicios;Mujeres;2008;18.819,99
Total Nacional;Servicios;Hombres;2022;29.307,34
Total Nacional;Servicios;Hombres;2021;28.349,8
Total Nacional;Servicios;Hombres;2020;27.614,44
Total Nacional;Servicios;Hombres;2019;26.715,74
Total Nacional;Servicios;Hombres;2018;26.373,15
Total Nacional;Servicios;Hombres;2017;25.992,41
Total Nacional;Servicios;Hombres;2016;25.483,48
Total Nacional;Servicios;Hombres;2015;25.497,29
Total Nacional;Servicios;Hombres;2014;25.198,57
Total Nacional;Servicios;Hombres;2013;25.179,96
Total Nacional;Servicios;Hombres;2012;25.390,89
Total Nacional;Servicios;Hombres;2011;25.551,54
Total Nacional;Servicios;Hombres;2010;25.676,99
Total Nacional;Servicios;Hombres;2009;25.368,84
Total Nacional;Servicios;Hombres;2008;24.620,81
Andalucía;Todos los sectores;Ambos sexos;2022;24.094,32
Andalucía;Todos los sectores;Ambos sexos;2021;23.154,99
Andalucía;Todos los sectores;Ambos sexos;2020;22.323,85
Andalucía;Todos los sectores;Ambos sexos;2019;22.060,99
Andalucía;Todos los sectores;Ambos sexos;2018;21.805,92
Andalucía;Todos los sectores;Ambos sexos;2017;21.404,28
Andalucía;Todos los sectores;Ambos sexos;2016;21.268,41
Andalucía;Todos los sectores;Ambos sexos;2015;21.381,03
Andalucía;Todos los sectores;Ambos sexos;2014;20.840,3
Andalucía;Todos los sectores;Ambos sexos;2013;20.782,03
Andalucía;Todos los sectores;Ambos sexos;2012;20.891,63
Andalucía;Todos los sectores;Ambos sexos;2011;21.350,98
Andalucía;Todos los sectores;Ambos sexos;2010;20.964,36
Andalucía;Todos los sectores;Ambos sexos;2009;20.906,33
Andalucía;Todos los sectores;Ambos sexos;2008;20.138,56
Andalucía;Todos los sectores;Mujeres;2022;21.729,48
Andalucía;Todos los sectores;Mujeres;2021;20.427,8
Andalucía;Todos los sectores;Mujeres;2020;19.517,52
Andalucía;Todos los sectores;Mujeres;2019;19.391,52
Andalucía;Todos los sectores;Mujeres;2018;18.672,11
Andalucía;Todos los sectores;Mujeres;2017;18.287,29
Andalucía;Todos los sectores;Mujeres;2016;18.177,37
Andalucía;Todos los sectores;Mujeres;2015;18.340,96
Andalucía;Todos los sectores;Mujeres;2014;17.576,13
Andalucía;Todos los sectores;Mujeres;2013;17.690,19
Andalucía;Todos los sectores;Mujeres;2012;17.828,44
Andalucía;Todos los sectores;Mujeres;2011;18.389,21
Andalucía;Todos los sectores;Mujeres;2010;17.921,33
Andalucía;Todos los sectores;Mujeres;2009;18.371,23
Andalucía;Todos los sectores;Mujeres;2008;17.298,33
Andalucía;Todos los sectores;Hombres;2022;26.189,5
Andalucía;Todos los sectores;Hombres;2021;25.464,78
Andalucía;Todos los sectores;Hombres;2020;24.785,82
Andalucía;Todos los sectores;Hombres;2019;24.527,67
Andalucía;Todos los sectores;Hombres;2018;24.712,69
Andalucía;Todos los sectores;Hombres;2017;24.175,52
Andalucía;Todos los sectores;Hombres;2016;24.026,82
Andalucía;Todos los sectores;Hombres;2015;24.200,2
Andalucía;Todos los sectores;Hombres;2014;23.541,32
Andalucía;Todos los sectores;Hombres;2013;23.565,36
Andalucía;Todos los sectores;Hombres;2012;23.592,08
Andalucía;Todos los sectores;Hombres;2011;23.815,22
Andalucía;Todos los sectores;Hombres;2010;23.463,96
Andalucía;Todos los sectores;Hombres;2009;22.908,86
Andalucía;Todos los sectores;Hombres;2008;22.108,57
Andalucía;Industria;Ambos sexos;2022;27.791,2
Andalucía;Industria;Ambos sexos;2021;26.089,9
Andalucía;Industria;Ambos sexos;2020;25.274,75
Andalucía;Industria;Ambos sexos;2019;24.974,5
Andalucía;Industria;Ambos sexos;2018;25.772,35
Andalucía;Industria;Ambos sexos;2017;25.092,94
Andalucía;Industria;Ambos sexos;2016;24.953,92
Andalucía;Industria;Ambos sexos;2015;25.652,21
Andalucía;Industria;Ambos sexos;2014;24.602,91
Andalucía;Industria;Ambos sexos;2013;25.201,18
Andalucía;Industria;Ambos sexos;2012;24.350,17
Andalucía;Industria;Ambos sexos;2011;23.909,59
Andalucía;Industria;Ambos sexos;2010;23.216,01
Andalucía;Industria;Ambos sexos;2009;21.969,22
Andalucía;Industria;Ambos sexos;2008;21.780,93
Andalucía;Industria;Mujeres;2022;21.975,29
Andalucía;Industria;Mujeres;2021;21.066,95
Andalucía;Industria;Mujeres;2020;19.270,83
Andalucía;Industria;Mujeres;2019;19.206,32
Andalucía;Industria;Mujeres;2018;19.208,09
Andalucía;Industria;Mujeres;2017;19.235,95
Andalucía;Industria;Mujeres;2016;18.830,09
Andalucía;Industria;Mujeres;2015;19.898,74
Andalucía;Industria;Mujeres;2014;18.197,44
Andalucía;Industria;Mujeres;2013;18.446,77
Andalucía;Industria;Mujeres;2012;17.936,25
Andalucía;Industria;Mujeres;2011;17.934,2
Andalucía;Industria;Mujeres;2010;17.980,01
Andalucía;Industria;Mujeres;2009;16.964,37
Andalucía;Industria;Mujeres;2008;16.371,61
Andalucía;Industria;Hombres;2022;29.612,41
Andalucía;Industria;Hombres;2021;27.574,73
Andalucía;Industria;Hombres;2020;27.187,89
Andalucía;Industria;Hombres;2019;26.774,76
Andalucía;Industria;Hombres;2018;27.698,3
Andalucía;Industria;Hombres;2017;26.637,56
Andalucía;Industria;Hombres;2016;26.628,37
Andalucía;Industria;Hombres;2015;27.124,83
Andalucía;Industria;Hombres;2014;26.380,89
Andalucía;Industria;Hombres;2013;26.970,61
Andalucía;Industria;Hombres;2012;26.124,21
Andalucía;Industria;Hombres;2011;25.607,14
Andalucía;Industria;Hombres;2010;24.473,37
Andalucía;Industria;Hombres;2009;23.324,84
Andalucía;Industria;Hombres;2008;23.327,07
Andalucía;Construcción;Ambos sexos;2022;23.214,61
Andalucía;Construcción;Ambos sexos;2021;22.211,52
Andalucía;Construcción;Ambos sexos;2020;21.537,13
Andalucía;Construcción;Ambos sexos;2019;21.799,77
Andalucía;Construcción;Ambos sexos;2018;22.193,62
Andalucía;Construcción;Ambos sexos;2017;21.512,39
Andalucía;Construcción;Ambos sexos;2016;21.254,31
Andalucía;Construcción;Ambos sexos;2015;21.984,89
Andalucía;Construcción;Ambos sexos;2014;21.640,62
Andalucía;Construcción;Ambos sexos;2013;22.008,45
Andalucía;Construcción;Ambos sexos;2012;21.204,91
Andalucía;Construcción;Ambos sexos;2011;21.185,48
Andalucía;Construcción;Ambos sexos;2010;20.801,34
Andalucía;Construcción;Ambos sexos;2009;20.246,77
Andalucía;Construcción;Ambos sexos;2008;19.839,25
Andalucía;Construcción;Mujeres;2022;..
Andalucía;Construcción;Mujeres;2021;-19.413,32
Andalucía;Construcción;Mujeres;2020;-17.949,31
Andalucía;Construcción;Mujeres;2019;-18.627,09
Andalucía;Construcción;Mujeres;2018;-21.256,6
Andalucía;Construcción;Mujeres;2017;-17.780,09
Andalucía;Construcción;Mujeres;2016;-18.249,69
Andalucía;Construcción;Mujeres;2015;-17.969,44
Andalucía;Construcción;Mujeres;2014;-20.075,81
Andalucía;Construcción;Mujeres;2013;-20.225,7
Andalucía;Construcción;Mujeres;2012;-20.382,26
Andalucía;Construcción;Mujeres;2011;-18.189,25
Andalucía;Construcción;Mujeres;2010;-16.838,18
Andalucía;Construcción;Mujeres;2009;-18.430,69
Andalucía;Construcción;Mujeres;2008;-18.704,43
Andalucía;Construcción;Hombres;2022;23.467,43
Andalucía;Construcción;Hombres;2021;22.544,59
Andalucía;Construcción;Hombres;2020;21.964,91
Andalucía;Construcción;Hombres;2019;22.142,76
Andalucía;Construcción;Hombres;2018;22.322,72
Andalucía;Construcción;Hombres;2017;22.019,39
Andalucía;Construcción;Hombres;2016;21.640,82
Andalucía;Construcción;Hombres;2015;22.769,55
Andalucía;Construcción;Hombres;2014;21.830,63
Andalucía;Construcción;Hombres;2013;22.364,57
Andalucía;Construcción;Hombres;2012;21.365,22
Andalucía;Construcción;Hombres;2011;21.735,57
Andalucía;Construcción;Hombres;2010;21.385,06
Andalucía;Construcción;Hombres;2009;20.558,17
Andalucía;Construcción;Hombres;2008;19.995,97
Andalucía;Servicios;Ambos sexos;2022;23.693,32
Andalucía;Servicios;Ambos sexos;2021;22.842,97
Andalucía;Servicios;Ambos sexos;2020;21.986,61
Andalucía;Servicios;Ambos sexos;2019;21.699,21
Andalucía;Servicios;Ambos sexos;2018;21.255,08
Andalucía;Servicios;Ambos sexos;2017;20.897,55
Andalucía;Servicios;Ambos sexos;2016;20.760,47
Andalucía;Servicios;Ambos sexos;2015;20.774,4
Andalucía;Servicios;Ambos sexos;2014;20.283,09
Andalucía;Servicios;Ambos sexos;2013;20.104,82
Andalucía;Servicios;Ambos sexos;2012;20.388
Andalucía;Servicios;Ambos sexos;2011;20.981,35
Andalucía;Servicios;Ambos sexos;2010;20.646,46
Andalucía;Servicios;Ambos sexos;2009;20.833,12
Andalucía;Servicios;Ambos sexos;2008;19.908,16
Andalucía;Servicios;Mujeres;2022;21.735,96
Andalucía;Servicios;Mujeres;2021;20.408,18
Andalucía;Servicios;Mujeres;2020;19.559,46
Andalucía;Servicios;Mujeres;2019;19.413,48
Andalucía;Servicios;Mujeres;2018;18.597,61
Andalucía;Servicios;Mujeres;2017;18.245,13
Andalucía;Servicios;Mujeres;2016;18.139,88
Andalucía;Servicios;Mujeres;2015;18.270,04
Andalucía;Servicios;Mujeres;2014;17.507,1
Andalucía;Servicios;Mujeres;2013;17.595,11
Andalucía;Servicios;Mujeres;2012;17.768,18
Andalucía;Servicios;Mujeres;2011;18.424,12
Andalucía;Servicios;Mujeres;2010;17.948,86
Andalucía;Servicios;Mujeres;2009;18.457,87
Andalucía;Servicios;Mujeres;2008;17.307,16
Andalucía;Servicios;Hombres;2022;25.939,27
Andalucía;Servicios;Hombres;2021;25.481,31
Andalucía;Servicios;Hombres;2020;24.706,31
Andalucía;Servicios;Hombres;2019;24.422,44
Andalucía;Servicios;Hombres;2018;24.409,51
Andalucía;Servicios;Hombres;2017;23.905,45
Andalucía;Servicios;Hombres;2016;23.725,24
Andalucía;Servicios;Hombres;2015;23.698,97
Andalucía;Servicios;Hombres;2014;23.124,74
Andalucía;Servicios;Hombres;2013;22.944,13
Andalucía;Servicios;Hombres;2012;23.277,13
Andalucía;Servicios;Hombres;2011;23.720,68
Andalucía;Servicios;Hombres;2010;23.653,1
Andalucía;Servicios;Hombres;2009;23.368,45
Andalucía;Servicios;Hombres;2008;22.459,84
Aragón;Todos los sectores;Ambos sexos;2022;26.012,71
Aragón;Todos los sectores;Ambos sexos;2021;25.011,55
Aragón;Todos los sectores;Ambos sexos;2020;24.113,57
Aragón;Todos los sectores;Ambos sexos;2019;23.565,09
Aragón;Todos los sectores;Ambos sexos;2018;23.531,83
Aragón;Todos los sectores;Ambos sexos;2017;23.039,94
Aragón;Todos los sectores;Ambos sexos;2016;22.248,76
Aragón;Todos los sectores;Ambos sexos;2015;22.327,18
Aragón;Todos los sectores;Ambos sexos;2014;22.095,79
Aragón;Todos los sectores;Ambos sexos;2013;22.054,85
Aragón;Todos los sectores;Ambos sexos;2012;22.103,79
Aragón;Todos los sectores;Ambos sexos;2011;22.333,53
Aragón;Todos los sectores;Ambos sexos;2010;22.316,69
Aragón;Todos los sectores;Ambos sexos;2009;22.133,77
Aragón;Todos los sectores;Ambos sexos;2008;21.594,47
Aragón;Todos los sectores;Mujeres;2022;23.138,72
Aragón;Todos los sectores;Mujeres;2021;22.283,81
Aragón;Todos los sectores;Mujeres;2020;21.365,11
Aragón;Todos los sectores;Mujeres;2019;20.360,25
Aragón;Todos los sectores;Mujeres;2018;20.074,25
Aragón;Todos los sectores;Mujeres;2017;19.677,22
Aragón;Todos los sectores;Mujeres;2016;18.766,21
Aragón;Todos los sectores;Mujeres;2015;18.950,17
Aragón;Todos los sectores;Mujeres;2014;18.764,63
Aragón;Todos los sectores;Mujeres;2013;18.701,61
Aragón;Todos los sectores;Mujeres;2012;18.042,28
Aragón;Todos los sectores;Mujeres;2011;18.831,38
Aragón;Todos los sectores;Mujeres;2010;18.843,25
Aragón;Todos los sectores;Mujeres;2009;18.861,82
Aragón;Todos los sectores;Mujeres;2008;17.843,46
Aragón;Todos los sectores;Hombres;2022;28.789,96
Aragón;Todos los sectores;Hombres;2021;27.389,18
Aragón;Todos los sectores;Hombres;2020;26.505,7
Aragón;Todos los sectores;Hombres;2019;26.404,73
Aragón;Todos los sectores;Hombres;2018;26.640,59
Aragón;Todos los sectores;Hombres;2017;25.878,46
Aragón;Todos los sectores;Hombres;2016;25.326,91
Aragón;Todos los sectores;Hombres;2015;25.555,56
Aragón;Todos los sectores;Hombres;2014;25.118,61
Aragón;Todos los sectores;Hombres;2013;25.128,91
Aragón;Todos los sectores;Hombres;2012;25.766,27
Aragón;Todos los sectores;Hombres;2011;25.258,68
Aragón;Todos los sectores;Hombres;2010;25.263,29
Aragón;Todos los sectores;Hombres;2009;24.787,81
Aragón;Todos los sectores;Hombres;2008;24.272,36
Aragón;Industria;Ambos sexos;2022;28.829,7
Aragón;Industria;Ambos sexos;2021;27.698,1
Aragón;Industria;Ambos sexos;2020;27.300,7
Aragón;Industria;Ambos sexos;2019;27.217,63
Aragón;Industria;Ambos sexos;2018;26.747,53
Aragón;Industria;Ambos sexos;2017;27.002,84
Aragón;Industria;Ambos sexos;2016;26.486,24
Aragón;Industria;Ambos sexos;2015;25.903,55
Aragón;Industria;Ambos sexos;2014;26.171,35
Aragón;Industria;Ambos sexos;2013;25.106,14
Aragón;Industria;Ambos sexos;2012;25.174,59
Aragón;Industria;Ambos sexos;2011;25.404,5
Aragón;Industria;Ambos sexos;2010;25.030,44
Aragón;Industria;Ambos sexos;2009;24.016,53
Aragón;Industria;Ambos sexos;2008;23.511,63
Aragón;Industria;Mujeres;2022;24.948,94
Aragón;Industria;Mujeres;2021;23.272
Aragón;Industria;Mujeres;2020;22.302,52
Aragón;Industria;Mujeres;2019;21.788,45
Aragón;Industria;Mujeres;2018;21.003,33
Aragón;Industria;Mujeres;2017;21.777,11
Aragón;Industria;Mujeres;2016;21.132,48
Aragón;Industria;Mujeres;2015;19.976,84
Aragón;Industria;Mujeres;2014;21.176,72
Aragón;Industria;Mujeres;2013;19.602,78
Aragón;Industria;Mujeres;2012;18.708,85
Aragón;Industria;Mujeres;2011;19.240,74
Aragón;Industria;Mujeres;2010;19.338,5
Aragón;Industria;Mujeres;2009;19.053,99
Aragón;Industria;Mujeres;2008;18.338,03
Aragón;Industria;Hombres;2022;30.285,94
Aragón;Industria;Hombres;2021;29.270,67
Aragón;Industria;Hombres;2020;28.877,65
Aragón;Industria;Hombres;2019;28.906,35
Aragón;Industria;Hombres;2018;28.500,21
Aragón;Industria;Hombres;2017;28.402,64
Aragón;Industria;Hombres;2016;27.970,96
Aragón;Industria;Hombres;2015;27.704,66
Aragón;Industria;Hombres;2014;27.532,27
Aragón;Industria;Hombres;2013;26.764,24
Aragón;Industria;Hombres;2012;27.005,22
Aragón;Industria;Hombres;2011;27.028,5
Aragón;Industria;Hombres;2010;26.811,97
Aragón;Industria;Hombres;2009;25.432,16
Aragón;Industria;Hombres;2008;25.024,17
Aragón;Construcción;Ambos sexos;2022;-26.103,66
Aragón;Construcción;Ambos sexos;2021;26.309,8
Aragón;Construcción;Ambos sexos;2020;24.692,95
Aragón;Construcción;Ambos sexos;2019;24.760,62
Aragón;Construcción;Ambos sexos;2018;24.111,25
Aragón;Construcción;Ambos sexos;2017;23.015,81
Aragón;Construcción;Ambos sexos;2016;21.755,44
Aragón;Construcción;Ambos sexos;2015;20.825,87
Aragón;Construcción;Ambos sexos;2014;22.481,22
Aragón;Construcción;Ambos sexos;2013;22.577,25
Aragón;Construcción;Ambos sexos;2012;23.586,66
Aragón;Construcción;Ambos sexos;2011;23.301,94
Aragón;Construcción;Ambos sexos;2010;22.715,84
Aragón;Construcción;Ambos sexos;2009;21.512,38
Aragón;Construcción;Ambos sexos;2008;21.625,86
Aragón;Construcción;Mujeres;2022;..
Aragón;Construcción;Mujeres;2021;..
Aragón;Construcción;Mujeres;2020;..
Aragón;Construcción;Mujeres;2019;..
Aragón;Construcción;Mujeres;2018;..
Aragón;Construcción;Mujeres;2017;..
Aragón;Construcción;Mujeres;2016;..
Aragón;Construcción;Mujeres;2015;..
Aragón;Construcción;Mujeres;2014;..
Aragón;Construcción;Mujeres;2013;..
Aragón;Construcción;Mujeres;2012;..
Aragón;Construcción;Mujeres;2011;..
Aragón;Construcción;Mujeres;2010;..
Aragón;Construcción;Mujeres;2009;..
Aragón;Construcción;Mujeres;2008;..
Aragón;Construcción;Hombres;2022;-26.200,28
Aragón;Construcción;Hombres;2021;26.735,25
Aragón;Construcción;Hombres;2020;25.164,71
Aragón;Construcción;Hombres;2019;24.953,66
Aragón;Construcción;Hombres;2018;24.312,2
Aragón;Construcción;Hombres;2017;23.420,78
Aragón;Construcción;Hombres;2016;22.235,41
Aragón;Construcción;Hombres;2015;21.501,23
Aragón;Construcción;Hombres;2014;23.160,47
Aragón;Construcción;Hombres;2013;23.496,04
Aragón;Construcción;Hombres;2012;24.421,74
Aragón;Construcción;Hombres;2011;23.690,49
Aragón;Construcción;Hombres;2010;23.134,27
Aragón;Construcción;Hombres;2009;22.130,58
Aragón;Construcción;Hombres;2008;22.207,08
Aragón;Servicios;Ambos sexos;2022;25.116,95
Aragón;Servicios;Ambos sexos;2021;24.062,37
Aragón;Servicios;Ambos sexos;2020;23.042,16
Aragón;Servicios;Ambos sexos;2019;22.312,71
Aragón;Servicios;Ambos sexos;2018;22.495,7
Aragón;Servicios;Ambos sexos;2017;21.792,95
Aragón;Servicios;Ambos sexos;2016;20.975,36
Aragón;Servicios;Ambos sexos;2015;21.320,34
Aragón;Servicios;Ambos sexos;2014;20.797,05
Aragón;Servicios;Ambos sexos;2013;20.946,01
Aragón;Servicios;Ambos sexos;2012;20.886,48
Aragón;Servicios;Ambos sexos;2011;21.196,05
Aragón;Servicios;Ambos sexos;2010;21.344,79
Aragón;Servicios;Ambos sexos;2009;21.564,99
Aragón;Servicios;Ambos sexos;2008;20.881,64
Aragón;Servicios;Mujeres;2022;22.842,01
Aragón;Servicios;Mujeres;2021;22.114,75
Aragón;Servicios;Mujeres;2020;21.220,6
Aragón;Servicios;Mujeres;2019;20.098,95
Aragón;Servicios;Mujeres;2018;19.939,24
Aragón;Servicios;Mujeres;2017;19.420,94
Aragón;Servicios;Mujeres;2016;18.505,47
Aragón;Servicios;Mujeres;2015;18.858,5
Aragón;Servicios;Mujeres;2014;18.490,69
